ID$,SHAPE$,LEFT$,TOP$,RIGHT$,BOTTOM$,名称,所在地,ひとくちメモ,郵便番号,利用時間,URL,写真URL,備考,電話番号,FAX番号,EMAIL,開館時間,開催期間,収容台数,一時利用料,一時利用_1,月極利用料,月極利用_1,月極利用_2,月極利用_4
519,1135.39216895201534.4815519393267,135.392168952015,34.4815519393267,135.392168952015,34.4815519393267,春木交番,,,,,,,,,,,,,,,,,,,
1001,1135.4229837800134.4081626537515,135.42298378001,34.4081626537515,135.42298378001,34.4081626537515,東葛城出張所,神於町232‐8,,5960112,,,,,072‐447‐0119,,,,,,,,,,,
1002,1135.42740372078634.4543451535378,135.427403720786,34.4543451535378,135.427403720786,34.4543451535378,山直分署,岡山町262‐5,,5960814,,,,,072‐443‐0119,,,,,,,,,,,
1003,1135.39517078869334.4485382756497,135.395170788693,34.4485382756497,135.395170788693,34.4485382756497,岸和田市消防本部・消防署,上松町416‐1,,5960827,,,http://www.city.kishiwada.osaka.jp/uploaded/image/6194.jpg,総務課　<BR>庶務・施設管理係　　072‐426‐8603<BR>経理係　　　　　　　072‐426‐0799<BR><BR>予防課<BR>設備係　　　　　　　072‐426‐8605<BR>危険物　　　　　　　072‐426‐8606<BR>査察係　　　　　　　072‐426‐8607<BR><BR>警備課　<BR>警備計画係　　　　　072‐426‐8609<BR><BR>消防本部Fax　　　　  072‐426‐0900<BR><BR>消防署<BR>調査係　　072‐426‐2222<BR>警備係　　072‐426‐0499<BR>救助係　　072‐426‐0699<BR>救急係　　072‐426‐0999<BR>署Fax　　 072‐426‐0880,072‐426‐0119,072‐426‐0900,,,,,,,,,,
1004,1135.40443658956334.4758203443344,135.404436589563,34.4758203443344,135.404436589563,34.4758203443344,八木出張所,中井町1‐17‐23,,5960003,,,,,072‐444‐0119,,,,,,,,,,,
1005,1135.37036162268834.4606885908737,135.370361622688,34.4606885908737,135.370361622688,34.4606885908737,岸城分署,岸城町7-1,,5960073,,,,,072‐431‐0119,072‐431‐0116,,,,,,,,,,
1006,1135.39207521854734.4813037473723,135.392075218547,34.4813037473723,135.392075218547,34.4813037473723,春木分署,春木若松町22‐27,,5960006,,,,,072‐438‐0119,,,,,,,,,,,
1501,1135.39596393263334.461587890881,135.395963932633,34.461587890881,135.395963932633,34.461587890881,市立岸和田市民病院,岸和田市額原町1001番地,,5968501,,http://www.kishiwada-hospital.com/,,,072-445-1000,072-441-8812,,,,,,,,,,
1502,1135.39406225267834.4732531921033,135.394062252678,34.4732531921033,135.394062252678,34.4732531921033,泉州北部小児初期救急広域センター,岸和田市荒木町1丁目1番51号（岸和田メディカルセンター内）,,,,http://www.city.kishiwada.osaka.jp/site/kyukyu/shouni-kyukyu.html,,※　平日（月曜～金曜日）のお問い合わせは、保健センター（電話：423－8811）へお願いします。,072-443－5940,,,,,,,,,,,
1503,1135.38518455419534.4585503526254,135.385184554195,34.4585503526254,135.385184554195,34.4585503526254,健康推進課（保健センター）,岸和田市別所町3丁目12番1号（岸和田市立保健センター）,,5960045,,http://www.city.kishiwada.osaka.jp/soshiki/33/,,,072-423-8811（直通）,,,,,,,,,,,
2001,1135.37608494854534.4695896344789,135.376084948545,34.4695896344789,135.376084948545,34.4695896344789,いながわ療育園,岸和田市岸野町1番27号,,,,,,,072-423-0033,,,,,,,,,,,
2002,1135.37965450637834.4587031943177,135.379654506378,34.4587031943177,135.379654506378,34.4587031943177,パピースクール,岸和田市野田町1丁目5番5号（福祉総合センター内）,,,,,,,072-438-7755,,,,,,,,,,,
2501,1135.37291700450234.4616679968597,135.372917004502,34.4616679968597,135.372917004502,34.4616679968597,岸和田市立公民館・中央地区公民館,岸和田市堺町1番1号,,5960072,,http://www.city.kishiwada.osaka.jp/soshiki/67/tyuo.html,http://www.city.kishiwada.osaka.jp/uploaded/image/1364.jpg,申込受付時間：午前9時～午後5時30分<BR>休館日：月曜日、祝日、9月祭礼日、年末年始（12月30日～1月4日）<BR>※　月曜日が祝日の場合はその翌日も休館。ただし、敬老の日の翌日は開館。,072-423-9615,072－423－3011,,午前9時～午後9時,,,,,,,,
2502,1135.39197891492934.4788170298211,135.391978914929,34.4788170298211,135.391978914929,34.4788170298211,市立公民館分館（春木市民センター）,岸和田市春木若松町21番1号,,5960006,,http://www.city.kishiwada.osaka.jp/soshiki/24/,,休館日：月曜日<BR>国民の祝日・休日（国民の祝日が月曜日にあたるときは、翌日も休館、ただし、敬老の日の翌日は開館）<BR>敬老の日の前日及び前々日<BR>12月30日から1月4日,072-436-4500,072-436-0678,,午前9時から午後9時,,,,,,,,
2503,1135.38663876157134.4791797690386,135.386638761571,34.4791797690386,135.386638761571,34.4791797690386,春木地区公民館・春木青少年会館,岸和田市春木宮川町5番16号,,,,,,,072-422－0303,,,,,,,,,,,
2504,1135.41071261485434.4229501330849,135.410712614854,34.4229501330849,135.410712614854,34.4229501330849,葛城地区公民館（有真香会館）,岸和田市土生滝町689番1号,,,,,,,072-428－1787,,,,,,,,,,,
2505,1135.37636394019134.4671378864514,135.376363940191,34.4671378864514,135.376363940191,34.4671378864514,光陽地区公民館,岸和田市並松町15番10号,,5960052,,http://www.sensyu.ne.jp/kouyouko/,,,072-439-4786,,,,,,,,,,,
2506,1135.43936391979234.431632604996,135.439363919792,34.431632604996,135.439363919792,34.431632604996,山滝地区公民館,岸和田市稲葉町134番15号,,5960103,,http://www2.sensyu.ne.jp/kouminkan/yamataki/,,,072-479-0898,072-479-0898,,,,,,,,,,
2507,1135.39900540930834.4790322209436,135.399005409308,34.4790322209436,135.399005409308,34.4790322209436,城北地区公民館,岸和田市吉井町1丁目21番1号,,,,,,,072-445－8578,,,,,,,,,,,
2508,1135.3923589624734.4850797697144,135.39235896247,34.4850797697144,135.39235896247,34.4850797697144,大芝地区公民館,岸和田市磯上町1丁目14番41号,,,,,,,072-439－5900,,,,,,,,,,,
2509,1135.38581999785934.4486539570276,135.385819997859,34.4486539570276,135.385819997859,34.4486539570276,旭地区公民館（東岸和田市民センター）,岸和田市土生町４丁目３番１号（リハーブ内３～５階）,,5960825,,http://www.city.kishiwada.osaka.jp/soshiki/22/,,,072-428－6711,,,,,,,,,,,
2510,1135.42911528664934.3780497243518,135.429115286649,34.3780497243518,135.429115286649,34.3780497243518,葛城上地区公民館,岸和田市塔原町615番1号,,,,,,,072-478-8016,,,,,,,,,,,
2511,1135.43112983828434.4517376656034,135.431129838284,34.4517376656034,135.431129838284,34.4517376656034,山直地区公民館（山直市民センター）,岸和田市三田町715番1号,,5960808,,http://www.city.kishiwada.osaka.jp/soshiki/23/,,休館日：<BR>・月曜日<BR>・国民の祝休日（祝日が月曜の時は、その翌日も。ただし、体育の日の翌日は開館する）<BR>・12月30日から1月4日<BR>・体育の日の前日および前々日,072-441-1451,,,午前9時から午後9時,,,,,,,,
2512,1135.41086079278734.4414157873927,135.410860792787,34.4414157873927,135.410860792787,34.4414157873927,光明地区公民館,岸和田市尾生町1231番3号,,,,,,,072-441－8889,,,,,,,,,,,
2513,1135.4009640398134.4758805911593,135.40096403981,34.4758805911593,135.40096403981,34.4758805911593,新条地区公民館,岸和田市荒木町2丁目22番8号,,,,http://www2.sensyu.ne.jp/kouminkan/sinjo/,,,072-441-4123,072-441-4123,,,,,,,,,,
2514,1135.39685780005634.4291050315362,135.396857800056,34.4291050315362,135.396857800056,34.4291050315362,天神山地区公民館,岸和田市天神山町2丁目9番1号,,,,,,,072-426-3801,,,,,,,,,,,
2515,1135.42112727080834.4557692367202,135.421127270808,34.4557692367202,135.421127270808,34.4557692367202,久米田青少年会館,岸和田市岡山町450番1号,,5960821,,http://www2.sensyu.ne.jp/kouminkan/kumeda/,,,072-445-1155,072-445-1155,,,,,,,,,,
2516,1135.40776806507134.4732266288968,135.407768065071,34.4732266288968,135.407768065071,34.4732266288968,箕土路青少年会館,岸和田市箕土路町2丁目6番15号,,,,http://www2.sensyu.ne.jp/kouminkan/midoro/,,,072-444-2097,072-444-2097,,,,,,,,,,
2517,1135.38678102282634.4692859149416,135.386781022826,34.4692859149416,135.386781022826,34.4692859149416,大宮青少年会館,岸和田市宮前町4番25号,,5960043,,http://www2.sensyu.ne.jp/kouminkan/omiya/,,,072-444－7138,072-444－7138,,,,,,,,,,
2518,1135.43838986906234.3900378283866,135.438389869062,34.3900378283866,135.438389869062,34.3900378283866,大沢山荘,岸和田市大沢町440番,,,,,,,072-479－0108,,,,,,,,,,,
2519,1135.39477871690334.4539016980222,135.394778716903,34.4539016980222,135.394778716903,34.4539016980222,常盤地区公民館（桜台市民センター）,岸和田市下松町813番地,,5960823,,http://www.city.kishiwada.osaka.jp/soshiki/107/,,,072-428-9229,,,火曜～日曜　午前9時～午後9時,,,,,,,,
2520,1135.41266842135234.463450609005,135.412668421352,34.463450609005,135.412668421352,34.463450609005,八木地区公民館（八木市民センター）,岸和田市池尻町339番地の2,,5960813,,http://www.city.kishiwada.osaka.jp/soshiki/106/,,,072-443-6848,,,火曜～日曜　午前9時～午後9時,,,,,,,,
3001,1135.37411312347234.4591947920874,135.374113123472,34.4591947920874,135.374113123472,34.4591947920874,岸和田市立図書館,岸和田市岸城町１番18号,,5960073,,http://www.city.kishiwada.osaka.jp/site/toshokan/,http://www.city.kishiwada.osaka.jp/uploaded/image/12175.jpg,"休館日<BR>
毎週月曜日・国民の祝日（月曜日と重なるときはその翌日も）<BR>
※5月5日・11月3日は祝日開館<BR>
特別図書整理期間・9月祭礼・年末年始
",072-422-2142,072-432-8686,,午前10時～午後6時（水曜日は午後7時まで開館）,,,,,,,,
3002,1135.43056771767334.4517510919981,135.430567717673,34.4517510919981,135.430567717673,34.4517510919981,山直図書館,岸和田市三田町715番1号 (山直市民センター内),,5960808,,http://www.city.kishiwada.osaka.jp/site/toshokan/,http://www.city.kishiwada.osaka.jp/uploaded/image/12177.jpg,"休館日<BR>
毎週月曜日・国民の祝日（月曜日と重なるときはその翌日も）・特別図書整理期間・10月祭礼・年末年始
",072-441-7575,,,火曜～日曜　午前10時～午後6時,,,,,,,,
3003,1135.39259062667434.4790320732957,135.392590626674,34.4790320732957,135.392590626674,34.4790320732957,春木図書館,岸和田市春木若松町21番1号（春木市民センター内）,,5960006,,http://www.city.kishiwada.osaka.jp/site/toshokan/,http://www.city.kishiwada.osaka.jp/uploaded/image/12178.jpg,"休館日<BR>
毎週月曜日・国民の祝日（月曜日と重なるときはその翌日も）・特別図書整理期間・9月祭礼・年末年始
",072-436-0679,,,火曜～日曜　午前10時～午後6時,,,,,,,,
3004,1135.38608442761834.4487679762592,135.386084427618,34.4487679762592,135.386084427618,34.4487679762592,旭図書館,岸和田市土生町４丁目３番１号(リハーブ内３階),,5960825,,http://www.city.kishiwada.osaka.jp/site/toshokan/,http://www.city.kishiwada.osaka.jp/uploaded/image/12179.jpg,"休館日<BR> 
毎週月曜日・国民の祝日（月曜日と重なるときはその翌日も）・特別図書整理期間・10月祭礼・年末年始
",072-428-6200,,,火曜～日曜　午前10時～午後6時,,,,,,,,
3005,1135.39492874158434.4537969647343,135.394928741584,34.4537969647343,135.394928741584,34.4537969647343,桜台図書館,岸和田市下松町813番地,,5960823,,http://www.city.kishiwada.osaka.jp/site/toshokan/,http://www.city.kishiwada.osaka.jp/uploaded/image/25389.jpg,"休館日<BR>
毎週月曜日・国民の祝日（月曜日と重なるときはその翌日も）・特別図書整理期間・10月祭礼・年末年始
",072-428-9230,,,火曜～日曜　午前10時～午後6時,,,,,,,,
3006,1135.41273271994734.4633371456853,135.412732719947,34.4633371456853,135.412732719947,34.4633371456853,八木図書館,岸和田市池尻町339番地の2,,5960813,,http://www.city.kishiwada.osaka.jp/site/toshokan/,http://www.city.kishiwada.osaka.jp/uploaded/image/25405.jpg,"休館日<BR>
毎週月曜日・国民の祝日（月曜日と重なるときはその翌日も）・特別図書整理期間・10月祭礼・年末年始
",072-443-6848,,,火曜～日曜　午前10時～午後6時,,,,,,,,
3501,1135.37020545382934.4660760371933,135.370205453829,34.4660760371933,135.370205453829,34.4660760371933,浪切ホール,岸和田市港緑町1番1号,,5960014,,http://www.namikiri.jp/,,"休館日<BR>
　　毎月第3月曜日とその翌日、<BR>
　　敬老の日の前３日間",072-439-4173,072-439-4551,,AM9:00～PM11:00,,,,,,,,
3502,1135.39708785872234.4709551350274,135.397087858722,34.4709551350274,135.397087858722,34.4709551350274,マドカホール（岸和田市立文化会館）,岸和田市荒木町1丁目17番1号,,5960004,,http://www.city.kishiwada.osaka.jp/soshiki/10/,http://www.city.kishiwada.osaka.jp/uploaded/image/884.gif,,072-443-3800,072-443-4627,,,,,,,,,,
3503,1135.37187561893534.4605775588327,135.371875618935,34.4605775588327,135.371875618935,34.4605775588327,自泉会館,岸和田市岸城町5番10号,,5960073,,http://www.city.kishiwada.osaka.jp/soshiki/11/,,,072-437-3801,072-437-3801,,9時 から22時 まで（施設利用申請の受付は17時まで）,,,,,,,,
4001,1135.37055001197134.4624415489981,135.370550011971,34.4624415489981,135.370550011971,34.4624415489981,きしわだ自然資料館,岸和田市堺町6番5号 きしわだ自然資料館,入館料<BR>おとな：200円<BR>中学生以下：無料<BR>団体（25名以上）：140円<BR>＊特別展期間中は、おとな400円、中学生以下無料、団体（25名以上）280円となりますので、ご注意ください。<BR><BR>休館日<BR>毎週月曜日（ただし月曜日が祝日の場合は開館）、毎月月末日、祝日・休日の翌日（翌日が土・日曜日の場合は開館）、その他祭礼休館日（9月）、年末年始休館日（12月29日～1月5日）があります。,5960072,,http://www．city．kishiwada．osaka．jp/site/shizenshi/,,入館料<BR>おとな：200円<BR>中学生以下：無料<BR>団体（25名以上）：140円<BR>＊特別展期間中は、おとな400円、中学生以下無料、団体（25名以上）280円となりますので、ご注意ください。<BR><BR>休館日<BR>毎週月曜日（ただし月曜日が祝日の場合は開館）、毎月月末日、祝日,072-423-8100,072-423-8101,,10時～17時（入館は16時まで）,,,,,,,,
4501,1135.37940926415234.458486013187,135.379409264152,34.458486013187,135.379409264152,34.458486013187,科学技術教育センター,岸和田市野田町1丁目5番5号,,,,,,,072-422-0962,,,,,,,,,,,
5001,1135.38595685025134.448541953065,135.385956850251,34.448541953065,135.385956850251,34.448541953065,東岸和田サービスセンター,岸和田市土生町４丁目３番１号（リハーブ内３階）,,5960825,,http://www.city.kishiwada.osaka.jp/soshiki/22/,,,072-428-6711,072-428-0711,,午前9時から午後5時30分,,,,,,,,
5002,1135.39202852458734.4784944868679,135.392028524587,34.4784944868679,135.392028524587,34.4784944868679,春木サービスセンター,岸和田市春木若松町21番1号（春木市民センター内）,,5960006,,http://www.city.kishiwada.osaka.jp/soshiki/24/,,,072-436-4500,072-436-0678,,午前9時00分から午後5時30分まで,,,,,,,,
5003,1135.43055116939634.4522080291131,135.430551169396,34.4522080291131,135.430551169396,34.4522080291131,山直サービスセンター,岸和田市三田町715番1号,,5960808,,http://www.city.kishiwada.osaka.jp/soshiki/23/,,,072-441-1451,072-441-3844,,午前9時から午後5時30分,,,,,,,,
5004,1135.38545736355534.458079982082,135.385457363555,34.458079982082,135.385457363555,34.458079982082,消費生活センター,岸和田市別所町3丁目13番26号　産業会館3F,,5960045,,http://www.city.kishiwada.osaka.jp/soshiki/19/,,Tel：072-439-5281（相談専用）,072-438-5281,072-439-5300,,,,,,,,,,
5005,1135.39770833477334.456326430297,135.397708334773,34.456326430297,135.397708334773,34.456326430297,岸和田地域子育て支援センター,岸和田市下松町849番（光陽保育園内）,,,,,,,072-428-2880,,,,,,,,,,,
5006,1135.41150517352734.4534708884553,135.411505173527,34.4534708884553,135.411505173527,34.4534708884553,子育て支援センターさくらだい,岸和田市尾生町5丁目3番40号（桜台保育所内）,,5960816,,http://www.city.kishiwada.osaka.jp/soshiki/35/sienncenter-sakuradai.html,,,072-445-1962,"072-445-1963
",,,,,,,,,,
5007,1135.38149687507334.4833727239234,135.381496875073,34.4833727239234,135.381496875073,34.4833727239234,下水ポンプ場中央管理室,岸和田市春木大国町8番20号,,,,,,,072-422-6331,,,,,,,,,,,
5008,1135.3661961584334.4677558621863,135.36619615843,34.4677558621863,135.36619615843,34.4677558621863,大北下水ポンプ場,岸和田市地蔵浜町9番,,,,,,,,,,,,,,,,,,
5009,1135.37513205197834.4726211077539,135.375132051978,34.4726211077539,135.375132051978,34.4726211077539,下野町下水ポンプ場,岸和田市臨海町21番,,,,,,,,,,,,,,,,,,
5010,1135.38199286386434.4833592959986,135.381992863864,34.4833592959986,135.381992863864,34.4833592959986,天の川下水ポンプ場,岸和田市春木大国町8番20号,,,,,,,,,,,,,,,,,,
5011,1135.37903430852934.4582545457728,135.379034308529,34.4582545457728,135.379034308529,34.4582545457728,福祉総合センター,岸和田市野田町1丁目5番5号,,,,,,,072-438-2321,,,,,,,,,,,
5012,1135.3948055141534.4536704050073,135.39480551415,34.4536704050073,135.39480551415,34.4536704050073,桜台サービスセンター,岸和田市下松町813番地,,5960823,,http://www.city.kishiwada.osaka.jp/soshiki/107/,,,072-428-9229,,,月曜～金曜　午前9時～午後5時30分,,,,,,,,
5013,1135.4125987737934.463297866325,135.41259877379,34.463297866325,135.41259877379,34.463297866325,八木サービスセンター,岸和田市池尻町339番地の2,,5960813,,http://www.city.kishiwada.osaka.jp/soshiki/106/,,,072-443-6848,,,月曜～金曜　午前9時～午後5時30分,,,,,,,,
5014,1135.38063888834934.4638469988493,135.380638888349,34.4638469988493,135.380638888349,34.4638469988493,労働会館,大阪府岸和田市沼町25番13号,,5960053,,http://www.city.kishiwada.osaka.jp/soshiki/37/,,休館日　土曜日、日曜日、国民の祝休日、12月29日～1月3日,072-423-8895,072-423-8897,,開館時間　午前9時から午後5時30分まで,,,,,,,,
6001,1135.37067688817734.4587516091259,135.370676888177,34.4587516091259,135.370676888177,34.4587516091259,岸和田城,,,,,http://www.city.kishiwada.osaka.jp/soshiki/36/kishiwadajyo.html,http://www.city.kishiwada.osaka.jp/uploaded/image/2904.jpg,入館料<BR>おとな：300円<BR>中学生以下：無料<BR>団体（25名以上）：3割引<BR><BR>休場日<BR>毎週月曜日（ただし月曜日が祝日・休日の場合は開場）、年末年始（12月29日から1月3日）<BR><BR>※ただし、お城まつり期間中（4月1日から15日）は開場,,,,午前10時～午後5時（入場は午後4時まで）,,,,,,,,
6501,1135.39535197612934.4686704077074,135.395351976129,34.4686704077074,135.395351976129,34.4686704077074,総合体育館,岸和田市西之内町45番1号,,,,,,,072-441-9200,,,,,,,,,,,
6502,1135.3832833803534.4551232778037,135.38328338035,34.4551232778037,135.38328338035,34.4551232778037,中央体育館,岸和田市作才町1丁目7番15号,,,,,,,072-422-0326,,,,,,,,,,,
6503,1135.38204273951934.4751075441065,135.382042739519,34.4751075441065,135.382042739519,34.4751075441065,春木体育館,岸和田市春木泉町1番10号,,,,,,,072-423-0081,,,,,,,,,,,
6504,1135.38205958296434.4658478410448,135.382059582964,34.4658478410448,135.382059582964,34.4658478410448,牛ノ口公園運動広場,岸和田市上野町東1番1号,,,,,,牛ノ口公園テニスコート,072-422-0463,,,,,,,,,,,
6505,1135.42081313311734.4561186522754,135.420813133117,34.4561186522754,135.420813133117,34.4561186522754,久米田公園運動広場,岸和田市岡山町26番2号,,,,,,,072-443-9677,,,,,,,,,,,
6506,1135.3899618054634.4815048508492,135.38996180546,34.4815048508492,135.38996180546,34.4815048508492,春木運動広場,岸和田市八幡町6番11号,,,,,,,072-439-5523,,,,,,,,,,,
6507,1135.39047567215334.4413750005526,135.390475672153,34.4413750005526,135.390475672153,34.4413750005526,葛城運動広場,岸和田市極楽寺町446番,,,,,,,072-427-2267,,,,,,,,,,,
6508,1135.4105954224234.4665607825384,135.41059542242,34.4665607825384,135.41059542242,34.4665607825384,八木運動広場,岸和田市大町178番1号,,,,,,,072-443-2994,,,,,,,,,,,
6509,1135.36250129742534.4602297483351,135.362501297425,34.4602297483351,135.362501297425,34.4602297483351,浜工業公園球技広場,岸和田市地蔵浜町10番,,,,,,浜工業公園テニスコート,072-436-0300,,,,,,,,,,,
6510,1135.39561642706134.4709416618286,135.395616427061,34.4709416618286,135.395616427061,34.4709416618286,中央公園スポーツ広場,岸和田市西之内町8番,,,,,,,072-444-4371,,,,,,,,,,,
6511,1135.37918249995634.4763035793253,135.379182499956,34.4763035793253,135.379182499956,34.4763035793253,春木台場青少年広場,岸和田市春木泉町20番48号,,,,,,,,,,,,,,,,,,
6512,1135.37114702633434.4900921543033,135.371147026334,34.4900921543033,135.371147026334,34.4900921543033,臨海青少年広場,岸和田市木材町17番1号,,,,,,,,,,,,,,,,,,
6513,1135.40679357282934.4448561643845,135.406793572829,34.4448561643845,135.406793572829,34.4448561643845,菊ケ池青少年広場,岸和田市尾生町1067番2号,,,,,,,,,,,,,,,,,,
6514,1135.42776687343634.4072869759479,135.427766873436,34.4072869759479,135.427766873436,34.4072869759479,神楽目青少年広場,岸和田市内畑町3306番,,,,,,,,,,,,,,,,,,
6515,1135.37245439224634.4524082826434,135.372454392246,34.4524082826434,135.372454392246,34.4524082826434,鴨田池青少年広場,岸和田市南上町2丁目290番,,,,,,,,,,,,,,,,,,
6516,1135.43990928799634.4381641360757,135.439909287996,34.4381641360757,135.439909287996,34.4381641360757,奥ノ池青少年広場,岸和田市山直中町498番1号,,,,,,,,,,,,,,,,,,
